Flight No.,Launch site,Payload,Payload mass,Orbit,Customer,Launch outcome,Version Booster,Booster landing,Date,Time
1,CCAFS,Dragon Spacecraft Qualification Unit,0,LEO,"<a href=""/wiki/SpaceX"" title=""SpaceX"">SpaceX</a>","Success
",F9 v1.0B0003.1,Failure,6 June 2021,18:45
2,CCAFS,Dragon,0,LEO,"<a href=""/wiki/NASA"" title=""NASA"">NASA</a>",Success,F9 v1.0B0003.1,Failure,4 June 2010,18:45
3,CCAFS,Dragon,525 kg,LEO,"<a href=""/wiki/NASA"" title=""NASA"">NASA</a>",Success,F9 v1.0B0003.1,"No attempt
",8 December 2010,18:45
4,CCAFS,SpaceX CRS-1,"4,700 kg",LEO,"<a href=""/wiki/NASA"" title=""NASA"">NASA</a>","Success
",F9 v1.0B0003.1,No attempt,22 May 2012,18:45
5,CCAFS,SpaceX CRS-2,"4,877 kg",LEO,"<a href=""/wiki/NASA"" title=""NASA"">NASA</a>","Success
",F9 v1.0B0004.1,"No attempt
",8 October 2012,15:43
6,VAFB,CASSIOPE,500 kg,Polar orbit,"<a href=""/wiki/Maxar_Technologies"" title=""Maxar Technologies"">MDA</a>",Success,F9 v1.0B0005.1,Uncontrolled,1 March 2013,07:44
7,CCAFS,SES-8,"3,170 kg",GTO,"<a class=""mw-redirect"" href=""/wiki/SES_S.A."" title=""SES S.A."">SES</a>",Success,F9 v1.0B0006.1,No attempt,29 September 2013,00:35
8,CCAFS,Thaicom 6,"3,325 kg",GTO,"<a href=""/wiki/Thaicom"" title=""Thaicom"">Thaicom</a>",Success,F9 v1.0B0007.1,No attempt,3 December 2013,15:10
9,Cape Canaveral,SpaceX CRS-3,"2,296 kg",LEO,"<a href=""/wiki/NASA"" title=""NASA"">NASA</a>","Success
",F9 v1.1B1003,Controlled,6 January 2014,16:00
10,Cape Canaveral,Orbcomm-OG2,"1,316 kg",LEO,"<a href=""/wiki/Orbcomm"" title=""Orbcomm"">Orbcomm</a>",Success,F9 v1.1,Controlled,18 April 2014,22:41
11,Cape Canaveral,AsiaSat 8,"4,535 kg",GTO,"<a href=""/wiki/AsiaSat"" title=""AsiaSat"">AsiaSat</a>",Success,F9 v1.1,No attempt,14 July 2014,22:06
12,Cape Canaveral,AsiaSat 6,"4,428 kg",GTO,"<a href=""/wiki/AsiaSat"" title=""AsiaSat"">AsiaSat</a>",Success,F9 v1.1,"No attempt
",5 August 2014,19:25
13,Cape Canaveral,SpaceX CRS-4,"2,216 kg",LEO,"<a href=""/wiki/NASA"" title=""NASA"">NASA</a>",Success,F9 v1.1,Uncontrolled,7 September 2014,15:15
14,Cape Canaveral,SpaceX CRS-5,"2,395 kg",LEO,"<a href=""/wiki/NASA"" title=""NASA"">NASA</a>",Success,F9 v1.1,Failure ,21 September 2014,08:00
